profile,param,seed,packets_sent,lost,late,loss_pct,mean_rtt_ms,median_rtt_ms,p99_rtt_ms,deadline_miss_pct,mean_burst_len,max_burst_len
bernoulli-loss,,1,10000,1041,,10.41,0.6236828362394259,0.4242080030962825,3.9101250004023314,10.45,1.1364628820960698,5
bernoulli-loss,,2,10000,1009,,10.09,0.45520084522535686,0.39670802652835846,1.9787080236710608,10.09,1.0991285403050108,3
bernoulli-loss,,3,10000,979,,9.790000000000001,0.5009995573137309,0.4427909734658897,1.7013339675031602,9.8,1.1125,3
clean,,1,10000,3,,0.03,0.7917643886342637,0.3938750014640391,7.366334029939026,0.19,1,1
gilbert-elliott,,1,10000,1030,,10.299999999999999,0.46889703965968055,0.39862500852905214,2.024875022470951,10.299999999999999,4.790697674418604,28
gilbert-elliott,,2,10000,1018,,10.18,0.4516139147621527,0.37085398798808455,2.0288749947212636,10.190000000000001,4.965853658536585,29
gilbert-elliott,,3,10000,993,,9.93,0.3142469807505625,0.280875014141202,0.7900420459918678,9.93,4.915841584158416,22
jitter,,1,10000,0,,0.0,105.50526833143086,105.21025001071393,175.4634160315618,96.78,0,0
latency-ladder,,1,1000,0,,0.0,0.4084183925879188,0.3519999736454338,1.8085000338032842,0.0,0,0
latency-ladder,,1,1000,0,,0.0,104.27214737830218,104.80683299829252,107.5577909941785,100.0,0,0
latency-ladder,,1,1000,0,,0.0,154.3699071945157,155.04952098126523,157.34408400021493,100.0,0,0
latency-ladder,,1,1000,0,,0.0,204.4450530942413,205.21333350916393,208.14845897257328,100.0,0,0
latency-ladder,,1,1000,0,,0.0,254.51554396282881,254.9330414913129,259.2432080418803,100.0,0,0
latency-ladder,,1,1000,0,,0.0,54.23162641504314,54.80041648843326,56.13187496783212,100.0,0,0
